repo_id,repo_id,repo_name,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,months_not_zero
100315912,100315912,Azure/autorest.ruby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976.0,9535.0,10920.0,13995.0,14750.0,15442.0,16134.0,16793.0,18968.0,18968.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,11.0
100315955,100315955,Azure/autorest.python,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3498.0,7686.0,11434.0,16261.0,19668.0,23098.0,28299.0,33350.0,36717.0,36738.0,38186.0,40372.0,41007.0,41007.0,42573.0,43560.0,44249.0,45013.0,46137.0,47800.0,48352.0,51862.0,53765.0,57214.0,57214.0,57463.0,57463.0,58472.0,64171.0,64171.0,65065.0,71853.0,74242.0,81386.0,83838.0,87994.0,87994.0,90973.0,95407.0,97171.0,97590.0,103674.0,109221.0,109221.0,111671.0,111671.0,114858.0,116667.0,118426.0,120233.0,120233.0,123711.0,129947.0,45.0
100316137,100316137,Azure/autorest.testserver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6483.0,8160.0,13503.0,14930.0,17337.0,18937.0,21390.0,25417.0,25804.0,27619.0,30473.0,31733.0,32162.0,32162.0,32162.0,32162.0,32162.0,32162.0,32162.0,33385.0,33385.0,33385.0,34972.0,34972.0,34972.0,34972.0,34972.0,38185.0,38185.0,38331.0,40740.0,40740.0,42849.0,44673.0,46178.0,46178.0,47065.0,47565.0,47565.0,47809.0,49453.0,54939.0,54939.0,54939.0,54939.0,54939.0,56574.0,56574.0,62721.0,62721.0,63086.0,63203.0,30.0
100736092,100736092,Azure/AzurePublicDataset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,1.0
100755397,100755397,Azure/Azure-WebApps-Support-Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,803.0,803.0,1275.0,1275.0,1275.0,3135.0,3311.0,3607.0,4783.0,5591.0,5859.0,8094.0,8094.0,8094.0,8094.0,8904.0,9057.0,10946.0,12830.0,18120.0,20407.0,20407.0,22855.0,25491.0,25579.0,25579.0,26879.0,20.0
101014719,101014719,Azure/generator-azure-iot-edge-module,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,1068.0,1068.0,1068.0,1876.0,1876.0,1876.0,1876.0,1876.0,1876.0,1876.0,1876.0,3404.0,3404.0,7110.0,7110.0,7110.0,7110.0,7110.0,7110.0,7110.0,7110.0,4.0
101110781,101110781,Azure/kubernetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,1.0
101225211,101225211,Azure/terraform-azurerm-compute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,1606.0,1703.0,1703.0,1703.0,1703.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1883.0,2031.0,2031.0,2179.0,2179.0,2315.0,2421.0,2421.0,2548.0,2548.0,2807.0,2807.0,2918.0,2918.0,2918.0,2918.0,2918.0,2918.0,3136.0,3136.0,3136.0,3295.0,3461.0,4662.0,4662.0,4789.0,4789.0,4789.0,5041.0,5041.0,5041.0,5041.0,5041.0,5041.0,5041.0,5041.0,5041.0,17.0
101225432,101225432,Azure/terraform-azurerm-computegroup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,2623.0,3.0
101225525,101225525,Azure/terraform-azurerm-network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1864.0,1864.0,1864.0,1864.0,2028.0,2028.0,2213.0,2213.0,2213.0,2213.0,2213.0,2213.0,2531.0,2531.0,5.0
