,t,label,d,f
0,t0,n0,6,0.09609510580128322
1,t0,n1,160,0.5123206390889727
2,t1,n2,38,0.34667588319024134
3,t2,n3,315,0.7219639406054291
4,t3,n4,49,0.3993585952448693
5,t4,n5,3,0.0432979004949261
6,t5,n6,8,0.23068078079235343
7,t6,n7,7,0.11318252374851834
8,t7,n8,28,0.29122064547121673
9,t8,n9,5,0.2675038312498643
10,t9,n10,58,0.5794848750614533
11,t10,n11,26,0.3238788977985969
12,t11,n12,8,0.2622659545302489
13,t12,n13,46,0.46062748341693316
14,t13,n14,3,0.008698885094648001
15,t14,n15,29,0.510058830109121
16,t15,n16,21,0.49254366279591066
17,t16,n17,4,0.07102174977808384
18,t17,n18,248,0.882392334444578
19,t18,n19,20,0.5768762262006625
20,t19,n20,65,0.6163846759796405
21,t20,n21,283,0.9802853296279127
22,t21,n22,6,0.1299139322599535
23,t22,n23,104,0.8030453516907518
24,t23,n24,121,0.8361443258218095
25,t24,n25,2,0.29264759018600117
26,t25,n26,2,0.243488741446926
27,t26,n27,436,0.9196122224769024
28,t27,n28,12,0.37643993978448886
29,t28,n29,440,0.9238486541364299
30,t29,n30,150,0.9205433691882748
31,t30,n31,114,0.8644632578792649
32,t31,n32,145,0.8836065337129936
33,t32,n33,27,0.5535084418420082
34,t33,n34,41,0.5310265653186957
35,t34,n35,129,0.7214105231444561
36,t35,n36,8,0.37628470315884543
37,t36,n37,28,0.4517516507965159
38,t37,n38,113,0.8057134179096563
39,t38,n39,9,0.2024315718408769
40,t39,n40,4,0.30400790890900653
41,t40,n41,64,0.6755560090268175
42,t41,n42,34,0.48051127978096375
43,t42,n43,2,0.028433106126806496
44,t43,n44,18,0.4261491534501657
45,t44,n45,51,0.7121382209514693
46,t45,n46,8,0.5203495872080578
47,t46,n47,5,0.20891895520645132
48,t47,n48,14,0.4390622158797951
49,t48,n49,11,0.38866226396647463
50,t49,n50,24,0.37081830033587126
51,t50,n51,6,0.470087088916778
52,t51,n52,18,0.49183586561050663
53,t52,n53,75,0.8957341633031338
54,t53,n54,2,0.10446512406277708
55,t54,n55,164,0.9894955024379928
56,t55,n56,109,0.9777425350933514
57,t56,n57,41,0.6495743026383829
58,t57,n58,11,0.7215953503704389
59,t58,n59,23,0.7762569353809081
