,t,n_start,n_end,weight,active
0,t0,n0,n1,0,1
1,t1,n0,n2,0,1
2,t1,n1,n2,0,1
3,t2,n2,n3,0,1
4,t2,n1,n3,0,1
5,t3,n2,n4,0,1
6,t3,n0,n4,0,1
7,t4,n4,n5,0,1
8,t4,n3,n5,0,1
9,t5,n2,n6,0,1
10,t5,n3,n6,0,1
11,t6,n3,n7,0,1
12,t6,n2,n7,0,1
13,t7,n7,n8,0,1
14,t7,n4,n8,0,1
15,t8,n3,n9,0,1
16,t8,n0,n9,0,1
17,t9,n7,n10,0,1
18,t9,n3,n10,0,1
19,t10,n8,n11,0,1
20,t10,n3,n11,0,1
21,t11,n1,n12,0,1
22,t11,n9,n12,0,1
23,t12,n7,n13,0,1
24,t12,n9,n13,0,1
25,t13,n9,n14,0,1
26,t13,n2,n14,0,1
27,t14,n2,n15,0,1
28,t14,n3,n15,0,1
29,t15,n8,n16,0,1
30,t15,n3,n16,0,1
31,t16,n2,n17,0,1
32,t16,n1,n17,0,1
33,t17,n7,n18,0,1
34,t17,n1,n18,0,1
35,t18,n2,n19,0,1
36,t18,n3,n19,0,1
37,t19,n9,n20,0,1
38,t19,n11,n20,0,1
39,t20,n3,n21,0,1
40,t20,n1,n21,0,1
41,t21,n18,n22,0,1
42,t21,n2,n22,0,1
43,t22,n3,n23,0,1
44,t22,n10,n23,0,1
45,t23,n11,n24,0,1
46,t23,n8,n24,0,1
47,t24,n9,n25,0,1
48,t24,n15,n25,0,1
49,t25,n3,n26,0,1
50,t25,n11,n26,0,1
51,t26,n7,n27,0,1
52,t26,n16,n27,0,1
53,t27,n3,n28,0,1
54,t27,n16,n28,0,1
55,t28,n1,n29,0,1
56,t28,n2,n29,0,1
57,t29,n12,n30,0,1
58,t29,n8,n30,0,1
59,t30,n1,n31,0,1
60,t30,n30,n31,0,1
61,t31,n2,n32,0,1
62,t31,n24,n32,0,1
63,t32,n15,n33,0,1
64,t32,n2,n33,0,1
65,t33,n7,n34,0,1
66,t33,n2,n34,0,1
67,t34,n7,n35,0,1
68,t34,n3,n35,0,1
69,t35,n3,n36,0,1
70,t35,n29,n36,0,1
71,t36,n2,n37,0,1
72,t36,n3,n37,0,1
73,t37,n3,n38,0,1
74,t37,n8,n38,0,1
75,t38,n3,n39,0,1
76,t38,n11,n39,0,1
77,t39,n2,n40,0,1
78,t39,n27,n40,0,1
79,t40,n5,n41,0,1
80,t40,n7,n41,0,1
81,t41,n2,n42,0,1
82,t41,n9,n42,0,1
83,t42,n38,n43,0,1
84,t42,n35,n43,0,1
85,t43,n35,n44,0,1
86,t43,n36,n44,0,1
87,t44,n2,n45,0,1
88,t44,n9,n45,0,1
89,t45,n36,n46,0,1
90,t45,n3,n46,0,1
91,t46,n8,n47,0,1
92,t46,n3,n47,0,1
93,t47,n2,n48,0,1
94,t47,n27,n48,0,1
95,t48,n20,n49,0,1
96,t48,n41,n49,0,1
97,t49,n43,n50,0,1
98,t49,n14,n50,0,1
99,t50,n46,n51,0,1
100,t50,n25,n51,0,1
101,t51,n3,n52,0,1
102,t51,n29,n52,0,1
103,t52,n7,n53,0,1
104,t52,n9,n53,0,1
105,t53,n3,n54,0,1
106,t53,n9,n54,0,1
107,t54,n3,n55,0,1
108,t54,n38,n55,0,1
109,t55,n11,n56,0,1
110,t55,n16,n56,0,1
111,t56,n41,n57,0,1
112,t56,n31,n57,0,1
113,t57,n46,n58,0,1
114,t57,n3,n58,0,1
115,t58,n35,n59,0,1
116,t58,n36,n59,0,1
117,t59,n35,n60,0,1
118,t59,n30,n60,0,1
119,t60,n38,n61,0,1
120,t60,n27,n61,0,1
121,t61,n3,n62,0,1
122,t61,n16,n62,0,1
123,t62,n3,n63,0,1
124,t62,n15,n63,0,1
125,t63,n2,n64,0,1
126,t63,n35,n64,0,1
127,t64,n3,n65,0,1
128,t64,n47,n65,0,1
129,t65,n43,n66,0,1
130,t65,n61,n66,0,1
131,t66,n3,n67,0,1
132,t66,n51,n67,0,1
133,t67,n41,n68,0,1
134,t67,n3,n68,0,1
135,t68,n3,n69,0,1
136,t68,n56,n69,0,1
137,t69,n35,n70,0,1
138,t69,n7,n70,0,1
139,t70,n41,n71,0,1
140,t70,n16,n71,0,1
141,t71,n41,n72,0,1
142,t71,n11,n72,0,1
143,t72,n21,n73,0,1
144,t72,n57,n73,0,1
145,t73,n30,n74,0,1
146,t73,n51,n74,0,1
147,t74,n29,n75,0,1
148,t74,n15,n75,0,1
149,t75,n3,n76,0,1
150,t75,n44,n76,0,1
151,t76,n15,n77,0,1
152,t76,n27,n77,0,1
153,t77,n39,n78,0,1
154,t77,n7,n78,0,1
155,t78,n46,n79,0,1
156,t78,n30,n79,0,1
157,t79,n9,n80,0,1
158,t79,n3,n80,0,1
159,t80,n27,n81,0,1
160,t80,n2,n81,0,1
161,t81,n25,n82,0,1
162,t81,n3,n82,0,1
163,t82,n9,n83,0,1
164,t82,n2,n83,0,1
165,t83,n29,n84,0,1
166,t83,n20,n84,0,1
167,t84,n82,n85,0,1
168,t84,n13,n85,0,1
169,t85,n3,n86,0,1
170,t85,n25,n86,0,1
171,t86,n46,n87,0,1
172,t86,n83,n87,0,1
173,t87,n8,n88,0,1
174,t87,n7,n88,0,1
175,t88,n2,n89,0,1
176,t88,n35,n89,0,1
177,t89,n15,n90,0,1
178,t89,n16,n90,0,1
179,t90,n8,n91,0,1
180,t90,n17,n91,0,1
181,t91,n58,n92,0,1
182,t91,n1,n92,0,1
183,t92,n48,n93,0,1
184,t92,n3,n93,0,1
185,t93,n16,n94,0,1
186,t93,n8,n94,0,1
187,t94,n0,n95,0,1
188,t94,n87,n95,0,1
189,t95,n41,n96,0,1
190,t95,n2,n96,0,1
191,t96,n96,n97,0,1
192,t96,n35,n97,0,1
193,t97,n34,n98,0,1
194,t97,n18,n98,0,1
195,t98,n35,n99,0,1
196,t98,n61,n99,0,1
197,t99,n35,n100,0,1
198,t99,n10,n100,0,1
199,t100,n15,n101,0,1
200,t100,n11,n101,0,1
201,t101,n3,n102,0,1
202,t101,n39,n102,0,1
203,t102,n20,n103,0,1
204,t102,n96,n103,0,1
205,t103,n7,n104,0,1
206,t103,n41,n104,0,1
207,t104,n7,n105,0,1
208,t104,n102,n105,0,1
209,t105,n29,n106,0,1
210,t105,n54,n106,0,1
211,t106,n85,n107,0,1
212,t106,n69,n107,0,1
213,t107,n74,n108,0,1
214,t107,n9,n108,0,1
215,t108,n3,n109,0,1
216,t108,n20,n109,0,1
217,t109,n42,n110,0,1
218,t109,n25,n110,0,1
219,t110,n62,n111,0,1
220,t110,n7,n111,0,1
221,t111,n35,n112,0,1
222,t111,n2,n112,0,1
223,t112,n31,n113,0,1
224,t112,n3,n113,0,1
225,t113,n3,n114,0,1
226,t113,n96,n114,0,1
227,t114,n18,n115,0,1
228,t114,n19,n115,0,1
229,t115,n41,n116,0,1
230,t115,n59,n116,0,1
231,t116,n13,n117,0,1
232,t116,n7,n117,0,1
233,t117,n9,n118,0,1
234,t117,n46,n118,0,1
235,t118,n43,n119,0,1
236,t118,n83,n119,0,1
237,t119,n39,n120,0,1
238,t119,n38,n120,0,1
239,t120,n2,n121,0,1
240,t120,n110,n121,0,1
241,t121,n3,n122,0,1
242,t121,n7,n122,0,1
243,t122,n57,n123,0,1
244,t122,n15,n123,0,1
245,t123,n2,n124,0,1
246,t123,n39,n124,0,1
247,t124,n78,n125,0,1
248,t124,n18,n125,0,1
249,t125,n2,n126,0,1
250,t125,n39,n126,0,1
251,t126,n46,n127,0,1
252,t126,n27,n127,0,1
253,t127,n16,n128,0,1
254,t127,n3,n128,0,1
255,t128,n114,n129,0,1
256,t128,n27,n129,0,1
257,t129,n80,n130,0,1
258,t129,n64,n130,0,1
259,t130,n79,n131,0,1
260,t130,n3,n131,0,1
261,t131,n97,n132,0,1
262,t131,n46,n132,0,1
263,t132,n3,n133,0,1
264,t132,n39,n133,0,1
265,t133,n27,n134,0,1
266,t133,n114,n134,0,1
267,t134,n69,n135,0,1
268,t134,n2,n135,0,1
269,t135,n82,n136,0,1
270,t135,n105,n136,0,1
271,t136,n98,n137,0,1
272,t136,n2,n137,0,1
273,t137,n2,n138,0,1
274,t137,n29,n138,0,1
275,t138,n27,n139,0,1
276,t138,n78,n139,0,1
277,t139,n79,n140,0,1
278,t139,n57,n140,0,1
279,t140,n38,n141,0,1
280,t140,n88,n141,0,1
281,t141,n1,n142,0,1
282,t141,n46,n142,0,1
283,t142,n18,n143,0,1
284,t142,n2,n143,0,1
285,t143,n3,n144,0,1
286,t143,n119,n144,0,1
287,t144,n7,n145,0,1
288,t144,n101,n145,0,1
289,t145,n46,n146,0,1
290,t145,n48,n146,0,1
291,t146,n110,n147,0,1
292,t146,n26,n147,0,1
293,t147,n110,n148,0,1
294,t147,n57,n148,0,1
295,t148,n7,n149,0,1
296,t148,n47,n149,0,1
297,t149,n12,n150,0,1
298,t149,n135,n150,0,1
299,t150,n29,n151,0,1
300,t150,n46,n151,0,1
301,t151,n2,n152,0,1
302,t151,n46,n152,0,1
303,t152,n25,n153,0,1
304,t152,n35,n153,0,1
305,t153,n43,n154,0,1
306,t153,n20,n154,0,1
307,t154,n83,n155,0,1
308,t154,n20,n155,0,1
309,t155,n96,n156,0,1
310,t155,n106,n156,0,1
311,t156,n7,n157,0,1
312,t156,n2,n157,0,1
313,t157,n42,n158,0,1
314,t157,n156,n158,0,1
315,t158,n2,n159,0,1
316,t158,n12,n159,0,1
317,t159,n34,n160,0,1
318,t159,n12,n160,0,1
319,t160,n50,n161,0,1
320,t160,n71,n161,0,1
321,t161,n3,n162,0,1
322,t161,n7,n162,0,1
323,t162,n2,n163,0,1
324,t162,n7,n163,0,1
325,t163,n56,n164,0,1
326,t163,n163,n164,0,1
327,t164,n160,n165,0,1
328,t164,n111,n165,0,1
329,t165,n20,n166,0,1
330,t165,n31,n166,0,1
331,t166,n48,n167,0,1
332,t166,n2,n167,0,1
333,t167,n110,n168,0,1
334,t167,n7,n168,0,1
335,t168,n15,n169,0,1
336,t168,n120,n169,0,1
337,t169,n110,n170,0,1
338,t169,n20,n170,0,1
339,t170,n71,n171,0,1
340,t170,n2,n171,0,1
341,t171,n71,n172,0,1
342,t171,n150,n172,0,1
343,t172,n69,n173,0,1
344,t172,n3,n173,0,1
345,t173,n122,n174,0,1
346,t173,n163,n174,0,1
347,t174,n168,n175,0,1
348,t174,n3,n175,0,1
349,t175,n23,n176,0,1
350,t175,n3,n176,0,1
351,t176,n27,n177,0,1
352,t176,n7,n177,0,1
353,t177,n122,n178,0,1
354,t177,n27,n178,0,1
355,t178,n7,n179,0,1
356,t178,n2,n179,0,1
357,t179,n80,n180,0,1
358,t179,n9,n180,0,1
359,t180,n9,n181,0,1
360,t180,n3,n181,0,1
361,t181,n9,n182,0,1
362,t181,n74,n182,0,1
363,t182,n7,n183,0,1
364,t182,n83,n183,0,1
365,t183,n114,n184,0,1
366,t183,n159,n184,0,1
367,t184,n47,n185,0,1
368,t184,n18,n185,0,1
369,t185,n2,n186,0,1
370,t185,n181,n186,0,1
371,t186,n47,n187,0,1
372,t186,n161,n187,0,1
373,t187,n15,n188,0,1
374,t187,n2,n188,0,1
375,t188,n18,n189,0,1
376,t188,n54,n189,0,1
377,t189,n114,n190,0,1
378,t189,n15,n190,0,1
379,t190,n7,n191,0,1
380,t190,n3,n191,0,1
381,t191,n3,n192,0,1
382,t191,n170,n192,0,1
383,t192,n7,n193,0,1
384,t192,n21,n193,0,1
385,t193,n103,n194,0,1
386,t193,n91,n194,0,1
387,t194,n9,n195,0,1
388,t194,n80,n195,0,1
389,t195,n184,n196,0,1
390,t195,n9,n196,0,1
391,t196,n7,n197,0,1
392,t196,n139,n197,0,1
393,t197,n48,n198,0,1
394,t197,n3,n198,0,1
395,t198,n18,n199,0,1
396,t198,n140,n199,0,1
397,t199,n110,n200,0,1
398,t199,n3,n200,0,1
399,t200,n41,n201,0,1
400,t200,n120,n201,0,1
401,t201,n36,n202,0,1
402,t201,n60,n202,0,1
403,t202,n197,n203,0,1
404,t202,n111,n203,0,1
405,t203,n25,n204,0,1
406,t203,n27,n204,0,1
407,t204,n119,n205,0,1
408,t204,n84,n205,0,1
409,t205,n8,n206,0,1
410,t205,n3,n206,0,1
411,t206,n65,n207,0,1
412,t206,n88,n207,0,1
413,t207,n124,n208,0,1
414,t207,n20,n208,0,1
415,t208,n29,n209,0,1
416,t208,n1,n209,0,1
417,t209,n181,n210,0,1
418,t209,n2,n210,0,1
419,t210,n98,n211,0,1
420,t210,n3,n211,0,1
421,t211,n59,n212,0,1
422,t211,n31,n212,0,1
423,t212,n9,n213,0,1
424,t212,n206,n213,0,1
425,t213,n75,n214,0,1
426,t213,n189,n214,0,1
427,t214,n63,n215,0,1
428,t214,n34,n215,0,1
429,t215,n2,n216,0,1
430,t215,n72,n216,0,1
431,t216,n2,n217,0,1
432,t216,n20,n217,0,1
433,t217,n160,n218,0,1
434,t217,n185,n218,0,1
435,t218,n87,n219,0,1
436,t218,n27,n219,0,1
437,t219,n2,n220,0,1
438,t219,n71,n220,0,1
439,t220,n111,n221,0,1
440,t220,n83,n221,0,1
441,t221,n83,n222,0,1
442,t221,n26,n222,0,1
443,t222,n163,n223,0,1
444,t222,n127,n223,0,1
445,t223,n8,n224,0,1
446,t223,n9,n224,0,1
447,t224,n9,n225,0,1
448,t224,n206,n225,0,1
449,t225,n180,n226,0,1
450,t225,n83,n226,0,1
451,t226,n3,n227,0,1
452,t226,n2,n227,0,1
453,t227,n13,n228,0,1
454,t227,n181,n228,0,1
455,t228,n3,n229,0,1
456,t228,n18,n229,0,1
457,t229,n74,n230,0,1
458,t229,n8,n230,0,1
459,t230,n41,n231,0,1
460,t230,n109,n231,0,1
461,t231,n139,n232,0,1
462,t231,n83,n232,0,1
463,t232,n3,n233,0,1
464,t232,n15,n233,0,1
465,t233,n15,n234,0,1
466,t233,n39,n234,0,1
467,t234,n9,n235,0,1
468,t234,n2,n235,0,1
469,t235,n3,n236,0,1
470,t235,n126,n236,0,1
471,t236,n2,n237,0,1
472,t236,n71,n237,0,1
473,t237,n3,n238,0,1
474,t237,n170,n238,0,1
475,t238,n15,n239,0,1
476,t238,n122,n239,0,1
477,t239,n7,n240,0,1
478,t239,n35,n240,0,1
479,t240,n46,n241,0,1
