,0
0,9240249.366297178
1,4822581.85698441
2,1405022.6582043
3,591502.208253885
4,21782013.003263112
5,26478214.722626623
6,1567771.5068805749
7,2068458.7760798368
8,3997615.4890050343
9,158257831.0746451
10,3906222302.01396
11,165442902.56621832
12,10737401.584062556
13,1488603.610983947
14,14973258.848806717
15,1634331.0140590244
16,322403.31375880877
17,82244001.07451047
18,2847312318.219887
19,2260934.8373332857
20,2403920.0083842087
21,8972111.663394433
22,1184702.4438032517
23,2361627.2826837865
24,495353.772275381
25,28218340.210795447
26,300709.3376512394
27,708003.6645691929
28,176782.27338279912
29,303817.1011568618
