,t,label,d,f
669,t668,n669,2,0.6482990824383206
670,t669,n670,2,0.8744453880705138
671,t670,n671,2,0.4304105531043353
672,t671,n672,3,0.9572695472866668
673,t672,n673,2,0.08015011071312739
674,t673,n674,2,0.08162521218888874
675,t674,n675,2,0.30075439132335424
676,t675,n676,2,0.28233525888368305
677,t676,n677,3,0.460926460191878
678,t677,n678,2,0.1109152172297041
679,t678,n679,2,0.3497050936065679
680,t679,n680,3,0.8012548041008966
681,t680,n681,3,0.7853075835703343
682,t681,n682,2,0.7891633512855919
683,t682,n683,2,0.48402254505174624
684,t683,n684,2,0.9634692494591869
685,t684,n685,2,0.09254019809824232
686,t685,n686,2,0.40252405076070574
687,t686,n687,2,0.7437505019833613
688,t687,n688,3,0.49493374891173136
689,t688,n689,3,0.8578280137031347
690,t689,n690,3,0.3127658139454542
691,t690,n691,2,0.33744985183831744
692,t691,n692,2,0.5009009328253602
693,t692,n693,2,0.765860229711104
694,t693,n694,2,0.6783830560032971
695,t694,n695,3,0.13771221950291146
696,t695,n696,2,0.2276751837854063
697,t696,n697,2,0.74550300987043
698,t697,n698,2,0.13318430459210817
699,t698,n699,2,0.5617158687863913
700,t699,n700,3,0.8773090823100678
701,t700,n701,3,0.845706474382218
702,t701,n702,2,0.1565281791988392
703,t702,n703,3,0.6544975769072344
704,t703,n704,2,0.2179151333607684
705,t704,n705,2,0.32374111519973137
706,t705,n706,2,0.7884627792873183
707,t706,n707,2,0.6141633888086189
708,t707,n708,2,0.9815634069967838
709,t708,n709,2,0.029879599013448055
710,t709,n710,2,0.20195495274837005
711,t710,n711,3,0.8842038298130985
712,t711,n712,2,0.5908998650649043
713,t712,n713,2,0.6303239823618918
714,t713,n714,2,0.2703536687038547
715,t714,n715,3,0.5897887657707055
716,t715,n716,2,0.9926815392664013
717,t716,n717,2,0.29042592436917036
718,t717,n718,3,0.3113086226800502
719,t718,n719,2,0.5333928413554632
720,t719,n720,3,0.5163703644365769
721,t720,n721,2,0.7137354349614091
722,t721,n722,2,0.3140033569597114
723,t722,n723,2,0.20838367433703475
724,t723,n724,2,0.9111576327066405
725,t724,n725,2,0.48009871144993466
726,t725,n726,3,0.44321840158964376
727,t726,n727,3,0.6695834180009522
728,t727,n728,2,0.5074838911589687
729,t728,n729,3,0.7345918729205877
730,t729,n730,2,0.6116475966418553
731,t730,n731,2,0.7175120911766675
732,t731,n732,2,0.3732175360647192
733,t732,n733,2,0.9590484172893239
734,t733,n734,2,0.7630466999936847
735,t734,n735,2,0.7450889869370644
736,t735,n736,2,0.17494396043891114
737,t736,n737,2,0.7369567991707532
738,t737,n738,2,0.07815385544133169
739,t738,n739,2,0.19991143354662722
740,t739,n740,2,0.2926851184483832
741,t740,n741,2,0.267929285163673
742,t741,n742,2,0.6795738696658439
743,t742,n743,3,0.7571859897101446
744,t743,n744,2,0.966719840426151
745,t744,n745,2,0.3535609944576297
746,t745,n746,2,0.41157810166395215
747,t746,n747,2,0.6373076109643462
748,t747,n748,2,0.6679076844420733
749,t748,n749,2,0.7513066351087052
750,t749,n750,2,0.18987980041452712
751,t750,n751,2,0.5613791875854764
752,t751,n752,4,0.6048320019376381
753,t752,n753,2,0.9375099825102304
754,t753,n754,2,0.45199567892315173
755,t754,n755,2,0.14623595777112974
756,t755,n756,2,0.02832185215819627
757,t756,n757,2,0.41670207427996275
758,t757,n758,2,0.9399619655376473
759,t758,n759,2,0.16685354372585004
760,t759,n760,2,0.11033717702592638
761,t760,n761,2,0.09813555110804495
762,t761,n762,2,0.013229966664570214
763,t762,n763,2,0.012142577920939757
764,t763,n764,4,0.740612555364191
765,t764,n765,2,0.18763078731186467
766,t765,n766,2,0.667889421416353
767,t766,n767,3,0.8856366334536202
768,t767,n768,2,0.6153904236778431
769,t768,n769,2,0.4333628703153104
770,t769,n770,2,0.7320883954831287
771,t770,n771,2,0.9670379290093855
772,t771,n772,2,0.9087531494949945
773,t772,n773,2,0.6156575298140781
774,t773,n774,2,0.30529675871542783
775,t774,n775,4,0.561668735883916
776,t775,n776,2,0.21314632629655983
777,t776,n777,2,0.7216693857133502
778,t777,n778,2,0.5590194336507455
779,t778,n779,2,0.42289131820667725
780,t779,n780,2,0.062229767812461034
781,t780,n781,2,0.34320648375381735
782,t781,n782,2,0.9206957246169956
783,t782,n783,2,0.49602152995032445
784,t783,n784,2,0.4720025163281575
785,t784,n785,2,0.5176420122650673
786,t785,n786,2,0.489560503131956
787,t786,n787,2,0.40999510087871716
788,t787,n788,2,0.04230390797208128
789,t788,n789,2,0.03436610259101891
790,t789,n790,2,0.756354596047737
