,t,n_start,n_end,weight,active
1366,t683,n33,n684,0,1
1367,t684,n135,n685,0,1
1368,t684,n646,n685,0,1
1369,t685,n164,n686,0,1
1370,t685,n604,n686,0,1
1371,t686,n437,n687,0,1
1372,t686,n298,n687,0,1
1373,t687,n204,n688,0,1
1374,t687,n543,n688,0,1
1375,t688,n85,n689,0,1
1376,t688,n219,n689,0,1
1377,t689,n2,n690,0,1
1378,t689,n440,n690,0,1
1379,t690,n6,n691,0,1
1380,t690,n685,n691,0,1
1381,t691,n5,n692,0,1
1382,t691,n390,n692,0,1
1383,t692,n3,n693,0,1
1384,t692,n69,n693,0,1
1385,t693,n14,n694,0,1
1386,t693,n56,n694,0,1
1387,t694,n272,n695,0,1
1388,t694,n64,n695,0,1
1389,t695,n657,n696,0,1
1390,t695,n5,n696,0,1
1391,t696,n696,n697,0,1
1392,t696,n200,n697,0,1
1393,t697,n693,n698,0,1
1394,t697,n422,n698,0,1
1395,t698,n51,n699,0,1
1396,t698,n2,n699,0,1
1397,t699,n270,n700,0,1
1398,t699,n7,n700,0,1
1399,t700,n222,n701,0,1
1400,t700,n687,n701,0,1
1401,t701,n7,n702,0,1
1402,t701,n12,n702,0,1
1403,t702,n270,n703,0,1
1404,t702,n46,n703,0,1
1405,t703,n324,n704,0,1
1406,t703,n605,n704,0,1
1407,t704,n3,n705,0,1
1408,t704,n417,n705,0,1
1409,t705,n7,n706,0,1
1410,t705,n330,n706,0,1
1411,t706,n7,n707,0,1
1412,t706,n12,n707,0,1
1413,t707,n24,n708,0,1
1414,t707,n7,n708,0,1
1415,t708,n5,n709,0,1
1416,t708,n218,n709,0,1
1417,t709,n290,n710,0,1
1418,t709,n85,n710,0,1
1419,t710,n7,n711,0,1
1420,t710,n60,n711,0,1
1421,t711,n437,n712,0,1
1422,t711,n686,n712,0,1
1423,t712,n34,n713,0,1
1424,t712,n3,n713,0,1
1425,t713,n4,n714,0,1
1426,t713,n25,n714,0,1
1427,t714,n25,n715,0,1
1428,t714,n133,n715,0,1
1429,t715,n232,n716,0,1
1430,t715,n476,n716,0,1
1431,t716,n547,n717,0,1
1432,t716,n568,n717,0,1
1433,t717,n270,n718,0,1
1434,t717,n13,n718,0,1
1435,t718,n77,n719,0,1
1436,t718,n711,n719,0,1
1437,t719,n27,n720,0,1
1438,t719,n220,n720,0,1
1439,t720,n150,n721,0,1
1440,t720,n65,n721,0,1
1441,t721,n676,n722,0,1
1442,t721,n604,n722,0,1
1443,t722,n25,n723,0,1
1444,t722,n73,n723,0,1
1445,t723,n24,n724,0,1
1446,t723,n5,n724,0,1
1447,t724,n72,n725,0,1
1448,t724,n85,n725,0,1
1449,t725,n133,n726,0,1
1450,t725,n2,n726,0,1
1451,t726,n85,n727,0,1
1452,t726,n19,n727,0,1
1453,t727,n241,n728,0,1
1454,t727,n287,n728,0,1
1455,t728,n192,n729,0,1
1456,t728,n583,n729,0,1
1457,t729,n209,n730,0,1
1458,t729,n341,n730,0,1
1459,t730,n139,n731,0,1
1460,t730,n264,n731,0,1
1461,t731,n352,n732,0,1
1462,t731,n458,n732,0,1
1463,t732,n6,n733,0,1
1464,t732,n99,n733,0,1
1465,t733,n708,n734,0,1
1466,t733,n556,n734,0,1
1467,t734,n516,n735,0,1
1468,t734,n491,n735,0,1
1469,t735,n611,n736,0,1
1470,t735,n2,n736,0,1
1471,t736,n74,n737,0,1
1472,t736,n2,n737,0,1
1473,t737,n4,n738,0,1
1474,t737,n402,n738,0,1
1475,t738,n6,n739,0,1
1476,t738,n178,n739,0,1
1477,t739,n6,n740,0,1
1478,t739,n258,n740,0,1
1479,t740,n5,n741,0,1
1480,t740,n2,n741,0,1
1481,t741,n165,n742,0,1
1482,t741,n63,n742,0,1
1483,t742,n27,n743,0,1
1484,t742,n2,n743,0,1
1485,t743,n43,n744,0,1
1486,t743,n108,n744,0,1
1487,t744,n308,n745,0,1
1488,t744,n24,n745,0,1
1489,t745,n623,n746,0,1
1490,t745,n5,n746,0,1
1491,t746,n394,n747,0,1
1492,t746,n73,n747,0,1
1493,t747,n341,n748,0,1
1494,t747,n19,n748,0,1
1495,t748,n543,n749,0,1
1496,t748,n87,n749,0,1
1497,t749,n308,n750,0,1
1498,t749,n209,n750,0,1
1499,t750,n43,n751,0,1
1500,t750,n604,n751,0,1
1501,t751,n209,n752,0,1
1502,t751,n352,n752,0,1
1503,t752,n177,n753,0,1
1504,t752,n700,n753,0,1
1505,t753,n24,n754,0,1
1506,t753,n6,n754,0,1
1507,t754,n291,n755,0,1
1508,t754,n601,n755,0,1
1509,t755,n227,n756,0,1
1510,t755,n63,n756,0,1
1511,t756,n2,n757,0,1
1512,t756,n235,n757,0,1
1513,t757,n2,n758,0,1
1514,t757,n490,n758,0,1
1515,t758,n588,n759,0,1
1516,t758,n5,n759,0,1
1517,t759,n633,n760,0,1
1518,t759,n485,n760,0,1
1519,t760,n422,n761,0,1
1520,t760,n15,n761,0,1
1521,t761,n241,n762,0,1
1522,t761,n164,n762,0,1
1523,t762,n121,n763,0,1
1524,t762,n43,n763,0,1
1525,t763,n22,n764,0,1
1526,t763,n5,n764,0,1
1527,t764,n302,n765,0,1
1528,t764,n3,n765,0,1
1529,t765,n689,n766,0,1
1530,t765,n31,n766,0,1
1531,t766,n34,n767,0,1
1532,t766,n231,n767,0,1
