,0
0,9639073.175278747
1,4737995.276430618
2,1139952.3084268952
3,566422.2410421383
4,21663738.402730975
5,26119501.752810553
6,1538559.8398376086
7,2044273.383027421
8,4131508.352597058
9,152113995.34180972
10,3906183819.384947
11,45787282.30942846
12,10560706.87543621
13,1526832.5208176326
14,14853635.601788316
15,133421681.10685185
16,219263.9276686362
17,4131508.352597058
18,765290120.275001
19,2264808.209012425
20,2311690.272006073
21,8375337.992581861
22,1075404.068763213
23,2352841.5813197168
24,460990.1935640566
25,92756849.59853078
26,284422.8506090504
27,759548.9349632927
28,189540.01746389014
29,302068.98418354976
