,t,label,d,f
0,t0,n0,13,0.35655006407509626
1,t0,n1,2,0.05364823562125465
2,t1,n2,188,0.7343572701341414
3,t2,n3,124,0.8885330845311353
4,t3,n4,16,0.4488822637653246
5,t4,n5,106,0.9700483205198351
6,t5,n6,134,0.8145906668985801
7,t6,n7,67,0.857419783014316
8,t7,n8,3,0.22332760556979026
9,t8,n9,4,0.3622654563030241
10,t9,n10,3,0.20093606696044963
11,t10,n11,2,0.08570654274151213
12,t11,n12,12,0.33153633948527783
13,t12,n13,13,0.7660485973461069
14,t13,n14,29,0.978915910160465
15,t14,n15,13,0.46525370586224524
16,t15,n16,4,0.20224278472465285
17,t16,n17,6,0.5194026447819627
18,t17,n18,2,0.17710080344791157
19,t18,n19,39,0.608810074585384
20,t19,n20,8,0.3083740329742316
21,t20,n21,7,0.5670449167974435
22,t21,n22,11,0.8390417046457199
23,t22,n23,2,0.05923676824374191
24,t23,n24,31,0.9738937006497635
25,t24,n25,17,0.7104772152287754
26,t25,n26,4,0.4301104090503336
27,t26,n27,16,0.76914060745105
28,t27,n28,5,0.26261088771908736
29,t28,n29,2,0.16455885207541432
30,t29,n30,3,0.1731520680069194
31,t30,n31,7,0.4655741920614055
32,t31,n32,3,0.21196362540577962
33,t32,n33,16,0.9487195933419754
34,t33,n34,5,0.3248191050080882
35,t34,n35,9,0.7830192327280034
36,t35,n36,31,0.9753411792742568
37,t36,n37,5,0.32620632225183965
38,t37,n38,3,0.20454424209701483
39,t38,n39,22,0.48414127660289696
40,t39,n40,4,0.2488334964777661
41,t40,n41,2,0.026261151853862907
42,t41,n42,2,0.6401953696109718
43,t42,n43,26,0.9446765272111509
44,t43,n44,12,0.7243561540730892
45,t44,n45,2,0.29068433845100494
46,t45,n46,13,0.6595979905452
47,t46,n47,2,0.08316611676281194
48,t47,n48,4,0.3574650531965874
49,t48,n49,4,0.24085686454683386
50,t49,n50,7,0.6504576340904104
51,t50,n51,13,0.7272487293884388
52,t51,n52,3,0.4103067723027476
53,t52,n53,7,0.8874781135666967
54,t53,n54,11,0.9605065188813142
55,t54,n55,6,0.8323706423055606
56,t55,n56,10,0.646102050268347
57,t56,n57,2,0.036225030629174815
58,t57,n58,4,0.6733289344087974
59,t58,n59,2,0.6539042285063739
60,t59,n60,11,0.8073183279994939
61,t60,n61,2,0.10860263595609143
62,t61,n62,2,0.04595236384317647
63,t62,n63,17,0.6241158382908624
64,t63,n64,20,0.9909239683190877
65,t64,n65,3,0.5441601908038767
66,t65,n66,4,0.2487350555889566
67,t66,n67,4,0.3954449033332955
68,t67,n68,3,0.06942757612408423
69,t68,n69,14,0.8793626570064316
70,t69,n70,2,0.2971776097513845
71,t70,n71,8,0.3139672636786166
72,t71,n72,9,0.8686064912043945
73,t72,n73,16,0.678891430056586
74,t73,n74,20,0.9242681494002912
75,t74,n75,3,0.18499805840481098
76,t75,n76,12,0.4776158924407905
77,t76,n77,11,0.5013790212302206
78,t77,n78,6,0.3959181704814376
79,t78,n79,2,0.8953408860392107
80,t79,n80,6,0.1533702924236161
81,t80,n81,7,0.49147362736557365
82,t81,n82,3,0.25117591635511816
83,t82,n83,2,0.8562283133443346
84,t83,n84,5,0.2187437680184806
85,t84,n85,26,0.9617989817985484
86,t85,n86,17,0.8963226287900787
87,t86,n87,8,0.7914526834629977
88,t87,n88,2,0.02035768539398841
89,t88,n89,2,0.054462806850993806
90,t89,n90,2,0.43426074131070036
91,t90,n91,14,0.6673781289083761
92,t91,n92,3,0.18250467069723886
93,t92,n93,8,0.9408398170017427
94,t93,n94,2,0.07537728403224386
95,t94,n95,6,0.658738738722895
96,t95,n96,6,0.6455281066035903
97,t96,n97,11,0.6598461633241642
98,t97,n98,6,0.3387525996488999
99,t98,n99,5,0.6798340041861464
100,t99,n100,3,0.6227746534475528
101,t100,n101,6,0.9652453693549777
102,t101,n102,9,0.6684000453277628
103,t102,n103,3,0.14085167800403953
104,t103,n104,4,0.9543717283697621
105,t104,n105,3,0.6601097849906385
106,t105,n106,3,0.5205987557714268
107,t106,n107,3,0.41376363515045
108,t107,n108,5,0.5112613674621537
109,t108,n109,2,0.22472447303631582
110,t109,n110,2,0.06873880718721048
111,t110,n111,2,0.1209618509078646
112,t111,n112,3,0.19872275440482512
113,t112,n113,4,0.6265283507539469
114,t113,n114,3,0.43282807650343735
115,t114,n115,4,0.6501071077772151
116,t115,n116,4,0.05712412673566969
117,t116,n117,3,0.5311127821931876
118,t117,n118,3,0.23189492966637915
119,t118,n119,2,0.12346303905944589
120,t119,n120,2,0.04937369295012928
121,t120,n121,6,0.5698793636565735
122,t121,n122,2,0.019485313502395685
123,t122,n123,9,0.2940910180931444
124,t123,n124,2,0.041385539265843874
125,t124,n125,7,0.30356231876191153
126,t125,n126,2,0.2974991286191099
127,t126,n127,3,0.4290125505738227
128,t127,n128,4,0.7371591443385254
129,t128,n129,3,0.19909303401772704
130,t129,n130,12,0.9066857026822219
131,t130,n131,2,0.14282201019549778
132,t131,n132,6,0.1950541823569636
133,t132,n133,22,0.9373963999606406
134,t133,n134,3,0.42681851591178155
135,t134,n135,11,0.9830883499227409
136,t135,n136,4,0.3631204426462479
137,t136,n137,7,0.692018777985014
138,t137,n138,4,0.7349373088814154
139,t138,n139,3,0.07429396889367024
140,t139,n140,2,0.10156331604875035
141,t140,n141,2,0.9837980886605547
142,t141,n142,5,0.17023680118430518
143,t142,n143,3,0.28383759468701864
144,t143,n144,4,0.6403064028100577
145,t144,n145,2,0.13790370947240282
146,t145,n146,5,0.906367288142592
147,t146,n147,3,0.3705626116438472
148,t147,n148,4,0.6758025520038985
149,t148,n149,2,0.7398966476048254
150,t149,n150,9,0.9264539472492922
151,t150,n151,3,0.06742626407516483
152,t151,n152,2,0.5321927689610131
153,t152,n153,5,0.5130839625145045
154,t153,n154,3,0.2343673870572428
155,t154,n155,3,0.4405233071347856
156,t155,n156,4,0.6484456505288414
157,t156,n157,2,0.27093110216458727
158,t157,n158,4,0.8585062353365298
159,t158,n159,2,0.0757104012678439
160,t159,n160,2,0.011618894616175601
161,t160,n161,4,0.9015453114906219
162,t161,n162,2,0.2566564901681019
163,t162,n163,7,0.8279814005528521
164,t163,n164,6,0.9695029916656474
165,t164,n165,3,0.3435094059138808
166,t165,n166,11,0.6290454094834532
167,t166,n167,4,0.4956839300612573
168,t167,n168,6,0.48326238874846383
169,t168,n169,2,0.12256082719012162
170,t169,n170,4,0.677955239981861
171,t170,n171,6,0.7103637271190991
172,t171,n172,6,0.7656518407567472
173,t172,n173,2,0.020838013741041994
174,t173,n174,6,0.8533003833136548
175,t174,n175,2,0.6934576323817709
176,t175,n176,2,0.3849605611476743
177,t176,n177,7,0.928677490946346
178,t177,n178,7,0.9939202244958761
179,t178,n179,2,0.2801066298242014
