,t,label,d,f
152,t151,n152,18,0.5965612409452207
153,t152,n153,2,0.08988275113777178
154,t153,n154,14,0.9309728588746808
155,t154,n155,29,0.7039842191960302
156,t155,n156,42,0.8187701092983406
157,t156,n157,3,0.1733007664061157
158,t157,n158,3,0.5292937717677
159,t158,n159,10,0.5662378124953855
160,t159,n160,11,0.7699844991967135
161,t160,n161,13,0.4952328788869089
162,t161,n162,3,0.3502320900732051
163,t162,n163,12,0.5432763494913136
164,t163,n164,2,0.060162475535604276
165,t164,n165,3,0.47280889128090386
166,t165,n166,22,0.6185454474378583
167,t166,n167,2,0.15046946868988187
168,t167,n168,6,0.6595829594871099
169,t168,n169,3,0.20380221417158673
170,t169,n170,101,0.982499886443907
171,t170,n171,76,0.8852868418993206
172,t171,n172,3,0.23106192605460962
173,t172,n173,16,0.8597845705308785
174,t173,n174,14,0.7599757180245678
175,t174,n175,42,0.9199254931653361
176,t175,n176,47,0.949259708271305
177,t176,n177,7,0.22340507047411362
178,t177,n178,3,0.07551145512816415
179,t178,n179,8,0.5157735585528418
180,t179,n180,39,0.8599375313837432
181,t180,n181,54,0.7799827888368729
182,t181,n182,10,0.39090508114996525
183,t182,n183,10,0.43560519733693726
184,t183,n184,14,0.5817880287825005
185,t184,n185,17,0.39246110534338463
186,t185,n186,40,0.7543891821433009
187,t186,n187,6,0.5037996333635671
188,t187,n188,9,0.2144367625054363
189,t188,n189,43,0.8634437006012787
190,t189,n190,3,0.049785333124215514
191,t190,n191,6,0.2550620801570863
192,t191,n192,2,0.05990474651199795
193,t192,n193,8,0.29564396805876514
194,t193,n194,13,0.924962252845409
195,t194,n195,7,0.2190803656934167
196,t195,n196,5,0.30082420944200783
197,t196,n197,27,0.6207952143205293
198,t197,n198,20,0.5085205865560721
199,t198,n199,2,0.05923965759219496
200,t199,n200,20,0.645411496877343
201,t200,n201,10,0.5066225463921001
202,t201,n202,2,0.11869077498989455
203,t202,n203,4,0.133317227859704
204,t203,n204,4,0.5567253803157198
205,t204,n205,8,0.526061395967843
206,t205,n206,57,0.9847796963741448
207,t206,n207,5,0.17572604455317709
208,t207,n208,4,0.31514084557469957
209,t208,n209,11,0.6938992788408559
210,t209,n210,16,0.7027925986675624
211,t210,n211,5,0.27002835238363543
212,t211,n212,3,0.1886317676908459
213,t212,n213,12,0.9571332589851368
214,t213,n214,4,0.44003323242124337
215,t214,n215,60,0.7760939337571537
216,t215,n216,8,0.4506429557210929
217,t216,n217,2,0.3343801814738211
218,t217,n218,16,0.44962869681237305
219,t218,n219,14,0.5941915397379646
220,t219,n220,21,0.6458336679218217
221,t220,n221,6,0.4779308296815994
222,t221,n222,2,0.02911896525288471
223,t222,n223,9,0.4528452372083319
224,t223,n224,5,0.27860872787500324
225,t224,n225,26,0.8012081022372639
226,t225,n226,16,0.9151717489072223
227,t226,n227,2,0.0348366108030157
228,t227,n228,15,0.5974624660592064
229,t228,n229,5,0.22089246856094535
