,0
0,11841894.808996674
1,4737995.276430627
2,1065978.8337739734
3,566510.936168565
4,22211643.736682635
5,26837444.752400637
6,1570389.8031780748
7,2044960.8776589292
8,4939087.346215187
9,64656685.53334342
10,915608328.8021678
11,10982233.547175761
12,8761545.1211176
13,2077593.3728194004
14,14910329.412395736
15,37795559.60371975
16,190128.66534670827
17,4939087.346215187
18,23595158.612528764
19,2421293.4636675986
20,2436007.2067597373
21,8461803.5379463
22,1152774.4478939818
23,2353372.0011801394
24,461023.2698508642
25,1907830.9000980605
26,352640.7508659546
27,1244188.9993602084
28,350637.80869364325
29,449508.62095825595
